活动规则|Promotion Rules
优惠券|coupon
商品|products
详情|Detail
话题|topic
项目主页|Project Home
风险说明|Risk Description
切换|Switch
填写话题内容|Fill topic content
取消|cancel
提交|submit
话题内容不能为空|Topics content can not be empty
异常提示|Abnormal Prompt
异常提示|Abnormal Prompt
大商创|DA SHANG CHUANG
自营|Self-employed
积分|points
市场价|Price
销量|Sold
库存|in stock
促销|Promotions
兑换|exchange
积分可抵|points can use
现金|cash
服务|service
发货并提供售后服务|Delivery and provide after-sales service
发货并提供售后服务|Delivery and provide after-sales service
服务信息|Service Information
服务说明|Service Description
货到付款|Cash on delivery
支持送货上门后再收款|Support payment after delivery 
支持现金|support cash payment
机刷卡等方式|Credit card machine, etc.
天退货|Day return
自实际收货日期的次日起|The next day from the actual date of receipt
天内|Days
商品完好|Goods in good condition
可进行无理由退换货|Can be no reason to return
极速达|Speed ​​up
上午下单|Order in the morning
下午送达|dispatch in the afternoon
服务信息|Service Information
货到付款|Cash on delivery
天退货|Day return
极速达|Speed ​​up
已选|selected
请选择|please choose
商品属性弹出层|product attribute pop-up layer
积分|points
库存|in stock
判断属性是复选还是单选|Determine property is a single or multiple choices
有属性图片|There are attributes Pictures
没属性图片|No attribute picture
普通商品可修改数量|You can modify the number of general products
数量|quantity 
已经兑完|already exchanged
立即兑换|Redeem Now
商品属性弹出层|product attribute pop-up layer
用户评价|User rating
好评率|Positive feedback
人评论|People Comments
有图评价|comment with image
全部评价|Total
查看商品详情|View Product Details
已经有|already have
人关注|Followers
商品|products
服务|service
时效|time limit
爆款新品|New explosion models
联系客服|Contact Customer Service
联系客服|Contact Customer Service
联系客服|Contact Customer Service
联系客服|Contact Customer Service
进入店铺|enter a shop
商品详情|product details
规格参数|Specifications
悬浮|float
客服|Customer Service
客服|Customer Service
客服|Customer Service
客服|Customer Service
收藏|Collect
已经兑完|already exchanged
立即兑换|Redeem Now
悬浮|float
相册|Gallery
商品详情相册切换|change Product Details album
店铺信息商品滚动|store info product ticker
商品详情属性弹出层|Product Details properties pop-up layer
模板堂|Template center
限购|Purchase
不能超过限购数量|Not exceed the limit
接收返回的信息|Receiving the returned information
属性图片|attribute picture
用户可购买的数量|Amount can be purchased
更改数量的同时显示|display while changing the amount
获取被选中|Get selected
该地区暂不支持配送|Delivery is not availbale in the region
您最多可积分兑换|You can redeem a maximum of
件商品|Items
对不起|Sorry
您现有的积分值不够兑换本商品|You do not have enought point to redeem
切换|Switch
默认|default
兑换量|Redemption amount
积分值|point value
积分|points
市场价|Market Price
立即兑换|Redeem Now
此处没有内容|There is no content here
快捷导航|Quick Navigation
优惠活动商品商品列表|list of products on sale
活动商品开始|On-sale Products start
优惠活动商品结束|End product promotions
赠品|Gifts
赠品结束|gift offer ended
普通商品开始|General merchandise start
普通商品结束|End general merchandise
活动商品结束|product promotions ended
收货人|Receiver
请输入收货人姓名|Enter the name of the consignee
请输入收货人姓名|Enter the name of the consignee
手机号码|mobile number
请输入联系电话|Please enter contact phone number
手机号码格式不正确|The phone number is not formatted correctly
请输入联系电话|Please enter contact phone number
请选择所在地区|Please select your area
所在地区|Region
详细信息|details
详细地址|Address
请输入详细地址|Please enter the full address
保存|save
获取微信收货地址|Obtaining Wechat delivery address
地区选择|Select area
地区选择|Select area
快捷导航|Quick Navigation
收货地址|Shipping address
微信获取共享收货地址|Wechat to obtain a shared delivery address
配置注入|Configuration injection
事件注入|Event injection
用户成功拉去出地址|address successfully retrieved
用户拒绝授权获取共享收货地址|User refused to authorize to acess a shared delivery address
默认|default
选择|select
编辑|edit
删除|delete
新增收货人信息|Add consignee information
还没有收货地址哦|Oh no shipping address
点击添加一个收货地址|Click Add a shipping address
快捷导航|Quick Navigation
点击设置地址|Click Settings Address
余额支付成功|Balance of payment success
已付款金额|Amount paid
应付款金额|Amount payable
订单号|order number
订单号|order number
门店信息|Store information
如果是线上支付则显示支付按钮|If payment is online payment, button will be displayed
查看订单|check order
快捷导航|Quick Navigation
收货人|Receiver
请输入收货人姓名|Enter the name of the consignee
手机号码|mobile number
请输入联系电话|Please enter contact phone number
所在地区|Region
详细信息|details
详细地址|Address
保存|save
地区选择|Select area
地区选择|Select area
服务电话|service line
营业时间|Hours
门店地址|Store address
请选择配送地址|Select shipping address
默认|default
商品信息|Product information
小于|Less than
件仅显示图片|items only contain photo
活动商品|items on sale
配件标识|Accessories logo
赠品|Gifts
赠品标识|Gift logo
普通商品|General merchandise
配件标识|Accessories logo
优惠活动商品|products on special
大于|more than the
折叠展开显示|A foldable display
商品列表|Product List
活动商品开始|On-sale Products start
配件标识|Accessories logo
该地区支持配送|delivery available in this region
优惠活动商品结束|End product promotions
赠品|Gifts
该地区支持配送|delivery available in this region
赠品结束|gift offer ended
普通商品开始|General merchandise start
配件标识|Accessories logo
该地区支持配送|delivery available in this region
普通商品结束|End general merchandise
活动商品结束|product promotions ended
活动商品开始|On-sale Products start
配件标识|Accessories logo
该地区支持配送|delivery available in this region
普通商品开始|General merchandise start
超级礼包|Super Gift Pack
套餐价|Package price
已优惠|discounted
含商品|With goods
超级礼包|Super Gift Pack
配件标识|Accessories logo
该地区支持配送|delivery available in this region
普通商品结束|End general merchandise
活动商品结束|product promotions ended
配送方式|Delivery Method
未设置|Is not set
该地区不支持配送|delivery is not available in this region
配送方式|Delivery Method
配送方式|Delivery Method
未设置|Is not set
自营商家有自提点|self-employed merchants with pickup location
配送方式|Delivery Method
自营商家|Self-employed merchants
上门自提|pickup
自提点|pickup location
关闭|close
地址|address
电话|phone
自提日期|pickup date
该时间无法配送|The delivery time is not available
请另选配送时间|Please select another delivery time
买家留言|Buyers message
选填|Optional
件商品|Items
合计|total
商品信息|Product information
支付方式|payment method
手续费|Fees
请选择|please choose
支付方式|payment method
支付方式|payment method
手续费|Fees
支付方式|payment method
发票信息|Invoice Information
发票类型|invoice type
普通发票|Ordinary invoices
增值发票|Tax invoices
电子发票是税务局认可的有效凭证|Digital invoice is a proof approved by Tax Department 
其法律效力|Legal effect
基本用途及使用规定|The basic purpose and requirements
个人|personal
单位|Company
单位名称|company name
可填写单位名称|You can fill company name
纳税人识别号|Taxpayer Identification Number
纳税人识别号|Taxpayer Identification Number
发票内容|invoice content
确定|confirm
红包|Red envelope
红包金额|The amount of red envelopes
不使用红包|Do not use red envelopes
使用期限|Period of use
关闭|close
确定|confirm
优惠券|coupon
优惠金额|Discounted price
不使用优惠券|Do not use coupons
免邮|Free postage
范围|range
有效期至|Valid until
免邮|Free postage
范围|range
不可用原因|The reason is not valid
有效期至|Valid until
关闭|close
确定|confirm
储值卡|stored value card
储值卡|stored value card
储值卡余额|stored value card balance
不使用储值卡|Cannot use stored value card
金额|Amount
过期时间|expire date
面值|face value
关闭|close
确定|confirm
商品包装|Product packaging
免费额度|Limit
不要包装|Do not packaging
商品包装|Product packaging
不要包装|Do not packaging
订单满|Orders over
免费|free
是否使用余额|Whether to use the balance
支付密码|Payment password
请输入支付密码|Please enter payment password
可使用|is usable
积分抵扣|Points deduction
团购若有保证金|Group Buy if there is a security deposit
第一次只需支付保证金和相应的支付费用|The first deposit and pay the appropriate fee payment
悬浮|float
检测单个商品是否支持配送|check if delivery is available for single product
实付款|real payment
积分|points
继续购物|continue shopping
确认兑换|Confirm redemption
提交订单|Submit Order
悬浮|float
快捷导航|Quick Navigation
内容自动获取高度|Content automatically get height
配送方式切换|change delivery
上门自提选择|pickup selection
上门自提|pickup
选择的配送方式|Select delivery method
自提点选择|pickup location selection
订单确认页面|Order confirmation page
显示红包|Display Red envelope
订单确认页面|Order confirmation page
显示储值卡|Display stored-value card
订单确认页面|Order confirmation page
显示优惠券|Show the coupon
红包|Red envelope
优惠券|coupon
储值卡|stored value card
选择点击效果|Click to select the effect
新红包选择效果|The new red selection effect
使用红包|Use red envelopes
关闭|close
新优惠券选择效果|The new coupon selection effect
优惠券|coupon
关闭|close
新储值卡选择效果|The new stored value card selection effect
使用储值卡|Using a stored value card
关闭|close
使用积分|Use Points
使用余额|Balance
发票|invoice
没有增值发票|No Tax invoices
确定去添加吗|Are you sure you want to add
确定|confirm
取消|cancel
增值发票正在审核|Tax invoices under review
单选|Single choice
检测单个商品是否支持配送|check if delivery is available for single product
获取配送方式|Gets Delivery
获取配送方式|Gets Delivery
获取配送方式|Gets Delivery
获取配送方式|Gets Delivery
获取配送方式|Gets Delivery
获取配送方式|Gets Delivery
切换使用余额|Switch balance
检查是否选择了支付配送方式|Check if paid shipping is selected
显示支付密码|Show Payments password
隐藏支付密码|Hide payment Password
商品优惠|Product discount
折扣|discount
配送费用|Shipping fees
保价费用|Insurance fee
支付费用|Pay
包装费用|Packaging costs
贺卡费用|Greeting card fee
余额|Balance
积分|points
红包|Red envelope
优惠券|coupon
运费优惠|Freight concessions
优惠券|coupon
优惠券|coupon
储值卡|stored value card
储值卡折扣|Stored value card discount
收货人|Receiver
请输入收货人姓名|Enter the name of the consignee
请输入收货人姓名|Enter the name of the consignee
手机号码|mobile number
请输入联系电话|Please enter contact phone number
手机号码格式不正确|The phone number is not formatted correctly
请输入联系电话|Please enter contact phone number
请选择所在地区|Please select your area
所在地区|Region
详细信息|details
详细地址|Address
请输入详细地址|Please enter the full address
确认提货|Confirm delivery
地区选择|Select area
地区选择|Select area
快捷导航|Quick Navigation
提交|submit
礼品卡卡号|Gift card number
退出礼品卡|Exit Gift Card
提货|Delivery
此处没有内容|There is no content here
快捷导航|Quick Navigation
退出礼品卡|Exit Gift Card
确定退出礼品卡|OK to exit Gift Card
确定|confirm
取消|cancel
提货|Delivery
卡号|card number
待发货|to be delivered
确认收货|Items received confirmation
完成|completed
此处没有内容|There is no content here
快捷导航|Quick Navigation
确认收货|Items received confirmation
确定收到商品了吗|Receive the goods yet determined
确定|confirm
取消|cancel
商品|products
详情|Detail
评论|comment
全部评价|Total
好评|Good reviews
中评|Neutral
差评|Bad review
有图|There are pictures
全部评价|Total
判断商品属性|Determine product attributes
是否是购买的商品|Whether it is purchased
评论图片|Review's Photos
管理员回复|Administrator's Reply
回复|Reply
此处没有内容|There is no content here
好评|Good reviews
中评|Neutral
差评|Bad review
有图|There are pictures
正在加载|loading
快捷导航|Quick Navigation
点击分享弹窗|Click the Share popup
验证登录|Verify Login
首次加载|First loads
加载效果处理|Load effects processing
头像|Avatar
评论图片|Review's Photos
正在加载|loading
没有更多了|No more
分享回调|Share callback
页面层|Page Layers
组合配件|Set Accessories
主商品|Main Product
属性|Attributes
商品属性弹出层|product attribute pop-up layer
库存|in stock
判断属性是复选还是单选|Determine property is a single or multiple choices
有属性图片|There are attributes Pictures
没属性图片|No attribute picture
复选|Multiple choices
确定|confirm
商品属性弹出层|product attribute pop-up layer
推荐配件|Recommended Accessories
配件|Accessories
配件|Accessories
属性|Attributes
商品属性弹出层|product attribute pop-up layer
库存|in stock
判断属性是复选还是单选|Determine property is a single or multiple choices
有属性图片|There are attributes Pictures
没属性图片|No attribute picture
复选|Multiple choices
确定|confirm
商品属性弹出层|product attribute pop-up layer
限购|Purchase Limit
购买|buy
套餐价|Package price
加入购物车|add to Shopping Cart
组合配件|Set Accessories
快捷导航|Quick Navigation
动态获取内容高度并且赋值|dynamically obtain content height then assign value
切换|Switch
首次加载|First loads
更新主件商品属性与价格|Update the main items and property prices
主件商品|Main items
点击属性弹窗|Click Properties popupup
判断是否勾选配件商品|determine if accessory products are selected
至少一件|At least one
配件商品|Accessories Product
点击属性弹窗|Click Properties popup
判断是否勾选配件商品|determine if accessory products are selected
当前勾选商品|current selected products
点击属性弹窗|Click Properties popup
更新配件商品属性|Updates accessories product attributes
属性选择确定|Property selection confirmation
配件选择|Select Accessories
勾选即加入|Selected are added
取消则删除|Cancel means deleted
删除基本件|Delete basic pieces
配件|Accessories
主件|Main items
新增配件|New Accessories
配件|Accessories
主件|Main items
套餐数量|Number of packages
减少|decrease
不能小于最小购买数量|Not less than the minimum purchase quantity 
套餐数量|Number of packages
增加|increase
限购商品|Limit Purchase Products
不能超过限购数量|Cannot exceed the limit
检查限购套餐数量|Check the number of purchase packages
不能超过最大库存数量|Cannot exceed the limit
加入套餐到购物车|Added packages to cart
套餐组名|Package Group Name
主商品|Main Product
点选可选属性修改商品价格的函数|Click to select optional properties to modify product price function
当前商品|Current product
主件|Main items
配件|Accessories
主件商品|Main items
套餐组名|Package Group Name
获取商品属性|Obtain product attributes
获取商品属性组|Obtain product attribute group
处理添加商品属性到组合购买购物车的反馈信息|Process adding product attributes to a combined purchase cart feedback
商品|products
表单|Forms
属性图片|attribute picture
用户可购买的数量|Amount can be purchased
购买数量大于商品限购数量|The quantity is over the product purchase limit
更改数量的同时显示|display while changing the amount
获取被选中|Get selected
该地区暂不支持配送|Delivery is not availbale in the region
移除勾选|Remove the tick
删除基本件|Delete basic pieces
配件|Accessories
主件|Main items
该商品库存不足|not enough stock for this product
移除勾选|Remove the tick
删除基本件|Delete basic pieces
配件|Accessories
主件|Main items
套餐区间价|Package price range
首次加载|First loads
套餐价|Package price
参考价|Reference Price
优惠价格异步替换|discount price Asynchronously replace
切换属性|Switching Attributes
获得选定的商品属性封装函数|get selected product atttribute encapsulation function
主件|Main items
配件|Accessories
获得选定的商品属性组|Get selected product attribute group
主件|Main items
配件|Accessories
勾选搭配商品|Check with commodities
添加套餐商品到购物车|Package add items to the shopping cart
获取当前|Get the current
配件|Accessories
商品属性|product attribute
获取主件商品属性|get main product attribute
获取当前|Get the current
配件|Accessories
商品属性组|product attribute Group
获取主件商品属性组|get main product attribute group
当前|current
配件|Accessories
商品属性|product attribute
主件商品属性|Main product attribute
处理勾选搭配商品|process selected matched product
添加套餐商品到购物车的反馈信息|add packaged items to cart feedback
如果需要缺货登记|If you need to record out of stock
跳转|redirect
确定|confirm
取消|cancel
套餐价|Package price
参考价|Reference Price
优惠价格异步替换|discount price asynchronously replace
处理取消勾选搭配商品|process unticked matched product
获取主件商品属性|get main product attribute
处理取消勾选搭配商品的反馈信息|processing unticked matched product feedback
套餐价|Package price
节省价|Saved price
参考价|Reference Price
市场价|Market Price
套餐提交到购物车|Packages submitted to cart
最终|ultimate
套餐数量|Number of packages
检查套餐限购数量|Check the package Quota
套餐提交到购物车|Packages submitted to cart
回调|Callback
去购物车|Go to cart
禁用加入购物车|Disable Add to Cart
商品|products
详情|Detail
评论|comment
视频|video
距促销结束还剩|Time until promotion end is
自营|Self-employed
可用积分|Points Available
销量|Sold
当前库存|Current inventory
可用积分|Points Available
价格阶梯|The price ladder
更多|More
数量|quantity 
优惠价格|Discounted prices
套装|Set
优惠套装|Special packages
最高优惠|the biggest discount
促销|Promotions
满赠|Buy more get free
立减|discount immediately
折扣|discount
团购活动|Group Buy
满减|Spend over get discount
领取优惠券|claim coupons
送至|Sent to
运费|Freight
包邮|Free shipping
免运费|free shipping
该地区不支持配送|delivery is not available in this region
默认仓库|The default warehouse
已选|selected
门店服务|Stores Services
门店自提|Stores pickup
可选择门店|Selectable stores
服务|service
发货并提供售后服务|Delivery and provide after-sales service
发货并提供售后服务|Delivery and provide after-sales service
正品保证|Authenticity Guaranteed
包退服务|guaranteed return service
闪速配送|Flash Delivery
网友讨论圈|User discussion circle
商品反馈|Product Feedback
用户评价|User rating
好评率|Positive feedback
人评论|People Comments
有图评价|comment with image
全部评价|Total
已经有|already have
人关注|Followers
商品|products
服务|service
时效|time limit
关联商品|Related Products
上拉查看图文详情|Scroll up to check photo details
下拉回到商品信息|scrolll down go back to product info
商品详情|product details
规格参数|Specifications
此处没有内容|There is no content here
猜你喜欢|you may also like
此处没有内容|There is no content here
商品属性弹出层|product attribute pop-up layer
库存|in stock
判断属性是复选还是单选|Determine property is a single or multiple choices
有属性图片|There are attributes Pictures
没属性图片|No attribute picture
数量|quantity 
普通商品可修改数量|You can modify the number of general products
暂时下架|Temporarily off the shelf
暂时缺货|Temporarily out of stock
立即购买|Buy now
加入购物车|add to Shopping Cart
商品属性弹出层|product attribute pop-up layer
门店属性弹出层|Layer properties pop-up stores
库存|in stock
判断属性是复选还是单选|Determine property is a single or multiple choices
有属性图片|There are attributes Pictures
没属性图片|No attribute picture
数量|quantity 
普通商品可修改数量|You can modify the number of general products
暂时下架|Temporarily off the shelf
暂时缺货|Temporarily out of stock
确认|confirm
门店属性弹出层|Layer properties pop-up stores
飞入购物车小图|Flying into the shopping cart inset
飞入购物车小图|Flying into the shopping cart inset
悬浮|float
客服|Customer Service
客服|Customer Service
客服|Customer Service
客服|Customer Service
客服|Customer Service
客服|Customer Service
客服|Customer Service
客服|Customer Service
客服|Customer Service
客服|Customer Service
收藏|Collect
购物车|shopping cart
飞入购物车位置|Flying into the cart location
飞入购物车位置|Flying into the cart location
店铺|Store
暂时下架|Temporarily off the shelf
暂时缺货|Temporarily out of stock
我要|I need to
加入购物车|add to Shopping Cart
样式不怎么好|Style is not very good
后期调整|Later adjustment
立即购买|Buy now
立即购买|Buy now
加入购物车|add to Shopping Cart
立即购买|Buy now
仓库|warehouse
关闭|close
仓库|warehouse
服务信息|Service Information
服务说明|Service Description
正品保证|Authenticity Guaranteed
包退服务|guaranteed return service
闪速配送|Flash Delivery
服务信息|Service Information
领取优惠券|claim coupons
领取优惠券|claim coupons
元可用|Dollars available
已领取|already claimed
已抢完|already sold out
立即|immediately
领取|receive
领取优惠券|claim coupons
选择门店|Select store
所在地区|Region
请选择|please choose
查看路线|View route
此处没有内容|There is no content here
到店时间|Time to the shop
手机号码|mobile number
输入手机号码|Enter the phone number
关闭|close
马上自提|pickup now
到店时间|Time to the shop
信息提示|message notification
到店时间|Time to the shop
默认为一天后的当前时间|default to next day same time
手机号码|mobile number
手机号码将获取取货码订单|the phone number will be used to get order number
选择门店|Select store
视频|video
图片|image
促销|Promotions
促销|Promotions
满赠|Buy more get free
立减|support
折扣|discount
团购活动|Group Buy
满减|Spend over get discount
促销|Promotions
套装|Set
推荐配件|Recommended Accessories
优惠套装|Special packages
最高优惠|the biggest discount
套装|Set
服务信息|Service Information
地区选择|Select area
地区选择|Select area
快捷导航|Quick Navigation
视频|video
分享|share
优惠券|coupon
首次加载|First loads
倒计时|Countdown
相册|Gallery
选择门店|Select store
验证登录|Verify Login
请先登录|please log in first
确定|confirm
取消|cancel
检查是否有商品规格|Check for product specifications
异步加载门店列表|Asynchronous loading stores list
关闭门店属性框|Exit Store Attribute Dialogue
选择门店|Select store
添加页面滚动|Add a page scroll
选择地区|Select Area
请选择|please choose
请选择|please choose
自提|pickup
请填写手机号码|please fill in mobile number
请选择门店|Please select stores
时间日期|The date and time
点选可选属性或改变数量时修改商品价格的函数|when click optional attribute or change quantity changes price function
购买数量|Purchase quantity 
不能为|Can not be
并且必须为整数|And it must be an integer
模板堂|Template center
限购|Purchase Limit
不能超过限购数量|Not exceed the limit
获得选定的商品属性组|Get selected product attribute group
接收返回的信息|Receiving the returned information
属性图片|attribute picture
用户可购买的数量|Amount can be purchased
更改数量的同时显示|display while changing the amount
获取被选中|Get selected
获取被选中|Get selected
该地区暂不支持配送|Delivery is not availbale in the region
总价|Total price
是否显示门店服务|Whether the service stores
是否缺货|Whether out of stock
检查是否申请分销商|Check whether to apply for distributor
是否申请成为|Whether to apply for
确定|confirm
取消|cancel
加入购物车的模式|Add to Cart Mode
立即购买|Buy now
首页浏览记录|Home Visit History
将商品信息存储|save product info
元素以及其他一些变量|Elements and other variables
抛物线运动|Parabolic movement
抛物线速度|Parabolic velocity
控制抛物线弧度|Control parabolic arc
绑定点击事件|Bind the click event
滚动大小|Scroll size
需要重定位|Require relocation
禁止|Ban
双击穿透|Double-click penetration
点击弹出搜索层|Click the Search pop-up layer
默认选择属性弹窗|The default selection Properties pop
门店选择属性弹窗|Select Properties pop stores
门店提示|Store Notification
关闭选择门店|Close select stores
服务|service
优惠券|coupon
促销弹窗|Promotional pop
套装|Set
点击分享弹窗|Click the Share pop
验证登录|Verify Login
分享回调|Share callback
页面层|Page Layers
详情上拉等|scroll up for details 
商品|products
详情|Detail
评论|comment
商品详情|product details
规格参数|Specifications
此处没有内容|There is no content here
此处没有内容|There is no content here
快捷导航|Quick Navigation
切换|Switch
分享|share it
我是|I'm
测试机器人|Test Robot
我为|I'm
大商场官方|Large shopping malls official
代言|Endorsement
森马夹克|Semir jacket
冬装新款男士飞行夹克贴布绣立领休闲外套韩版潮流|Winter new men's flight jacket embroidered patch collar casual jacket Korean tide
分享规则|Share Rules
凯瑞甘没人看吗坑人吗好看吗痛苦明后天哭了好吗他开门红太快了美好太空棉痛苦没开门卡通漫画看|Kerrigan deceptive you look good no one would watch it tomorrow or the day the pain he cried, okay good start too fast for a better space cotton pain did not open the door to see cartoons
点击右上角分享给朋友|Top right, click Send to a friend
快捷导航|Quick Navigation
套装列表|Set list
优惠套餐|Package
套装商品列表|Set the Product List
韩都衣舍|Korean Fashion
韩版女装新款黑白拼接插肩棒球服春季短外套|Korean women's new black and white raglan baseball stitching clothes spring jacket
朴信惠同款|Park Shin Hye Outfit
黑白拼接|Black and white stitching
插肩袖|Raglan sleeve
棒球服|Baseball uniform
套装商品列表|Set the Product List
套装商品列表|Set the Product List
韩都衣舍|Korean Fashion
韩版女装新款黑白拼接插肩棒球服春季短外套|Korean women's new black and white raglan baseball stitching clothes spring jacket
朴信惠同款|Park Shin Hye Outfit
黑白拼接|Black and white stitching
插肩袖|Raglan sleeve
棒球服|Baseball uniform
套装商品列表|Set the Product List
优惠套装|Special packages
原价|Price
立省|Provincial legislation
加入购物车|add to Shopping Cart
套装列表|Set list
快捷导航|Quick Navigation
自营|Self-employed
市场价|Price
保证金额|Guaranteed payment
保证金|Security deposit
销量|Sold
库存|in stock
价格阶梯|The price ladder
更多|More
服务|service
发货并提供售后服务|Delivery and provide after-sales service
发货并提供售后服务|Delivery and provide after-sales service
货到付款|Cash on delivery
天退货|Day return
极速达|Speed ​​up
已选|selected
请选择|please choose
用户评价|User rating
好评率|Positive feedback
人评论|People Comments
有图评价|comment with image
全部评价|Total
已经有|already have
人关注|Followers
商品|products
服务|service
时效|time limit
该商铺的其他团购|Other Group Buy at shop
客服|Customer Service
联系客服|Contact Customer Service
客服|Customer Service
客服|Customer Service
客服|Customer Service
联系客服|Contact Customer Service
联系客服|Contact Customer Service
联系客服|Contact Customer Service
联系客服|Contact Customer Service
联系客服|Contact Customer Service
进入店铺|Enter
上拉查看图文详情|Scroll up to check photo details
下拉回到商品信息|scrolll down go back to product info
商品详情|product details
规格参数|Specifications
此处没有内容|There is no content here
此处没有内容|There is no content here
商品属性弹出层|product attribute pop-up layer
价格|price
库存|in stock
限购数量|Sales quota
判断属性是复选还是单选|Determine property is a single or multiple choices
有属性图片|There are attributes Pictures
没属性图片|No attribute picture
普通商品可修改数量|You can modify the number of general products
数量|quantity 
团购结束|Group Buy ended
立刻团|Immediately Group
商品属性弹出层|product attribute pop-up layer
悬浮|float
客服|Customer Service
收藏|Collect
团购结束|Group Buy ended
立即团|immediately Group
立即团购|Buy Now
悬浮|float
阶梯价格|ladder price
价格阶梯|The price ladder
数量|quantity 
优惠价格|Discounted prices
服务信息|Service Information
服务说明|Service Description
货到付款|Cash on delivery
支持送货上门后再收款|Support payment after delivery 
支持现金|support cash payment
机刷卡等方式|Credit card machine, etc.
天退货|Day return
自实际收货日期的次日起|The next day from the actual date of receipt
天内|Days
商品完好|Goods in good condition
可进行无理由退换货|Can be no reason to return
极速达|Speed ​​up
上午下单|Order in the morning
下午送达|Afternoon dispatch
首次加载|First loads
倒计时|Countdown
相册|Gallery
点选可选属性或改变数量时修改商品价格的函数|when click optional attribute or change quantity changes price function
模板堂|Template center
限购|Purchase Limit
不能超过限购数量|Not exceed the limit
接收返回的信息|Receiving the returned information
属性图片|attribute picture
用户可购买的数量|Amount can be purchased
更改数量的同时显示|display while changing the amount
获取被选中|Get selected
该地区暂不支持配送|Delivery is not availbale in the region
已抢完|already sold out
总价|Total price
库存|in stock
限购数量|Sales quota
您最多可团购|You can buy up to
件商品|Items
库存不足|Inventory shortage
您最多可团购|You can buy up to
件商品|Items
团购详情倒计时|Group Buy details Countdown
解析字符串|Parsing a string
返回整数|Returns an integer
如果未定义时间|If no time
则我们设定倒计时日期是|Then we set the countdown date
现在将来秒差值|Second difference between present and future
默认选择属性弹窗|The default selection Properties pop
服务|service
阶梯价格|Price ladder
详情上拉等|scroll up for details 
活动名称|Event name
搜索|search
默认|default
最新|up to date
评论数|Reviews
已结束|ended
件已团|Group members have been
剩余|remain
此处没有内容|There is no content here
快捷导航|Quick Navigation
请输入搜索关键字|please enter keyword to search
切换|Switch
首页|Home
下载连接|Download link
首页广告|Home Advertising
广告|ad
页面向上滚动|Page scroll up
下有|There are lower
所以用以下方式|Therefore, in the following manner
点击关闭顶部层|Click off the top layer
点击后关闭|Click to close
秒关闭弹窗广告|Seconds Close popup ads.
城市关键词|City Keyword
当前|current
未知|unknown
定位|Locate
重新定位|re-locate
已定位城市|Targeted city
未知|unknown
最近访问城市|Recent visit to the city
热门城市|Popular cities
以下包含|The following contains
的城市|city ​​of
没有找到|could not find it
相关的城市|Related cities
热门|Popular
弹出搜索|Pop-up search
城市关键词|City Keyword
搜索|search
查询城市信息|City Information Query
定位失败|Positioning faileded
请启用位置服务|Please enable location services
切换城市|Change City
已切换到|Switched to
重新定位|re-locate
请输入您要查找的城市名称|Please enter the city name you want to find
头部导航|Head navigation
审核中|under review
正在审核|Under review
商城期待你的加入|We welcome you to join us
端补全信息吧|terminal complete the info
返回首页|Home
审核通过|approved
审核通过|approved
商城欢迎你的加入|You are welcome to join the mall
管理员|administrator
恭喜您|congratulations
您已经成功通过审核|You have successfully approved
返回首页|Home
审核未通过|Not approved by
审核未通过|Not approved by
商城等候您的加入|Mall waiting for you to join
管理员|administrator
返回首页|Home
入驻须知|Welcome Notice
认真填好个人信息|Carefully fill out personal information
以下信息都为必填信息|The following info is required 
姓名|Full name
号码具有真实性|Phone number is valid
店主姓名|Owner's name
店主姓名|Owner's name
性别|gender
手机号|phone number
手机号|phone number
所在地区|Region
请输入详细地址|Please enter the full address
我已阅读|I have read
入驻须知|Welcome Notice
同意签署在线协议|Agreed to sign an online agreement
下一步|The next step
地区选择|Select area
地区选择|Select area
同意协议|Consent agreement
选择性别|gender selection
入驻指南|New Merchant Guide
弹窗页面层|Popup layer
关闭|close
勾选为已读|Check as read
验证|verification
店主姓名不能为空|The owner's name can not be empty
请输入手机号|Please enter phone number
请输入有效的手机号|please input valid mobile phone number
请阅读|please read
入驻须知|Welcome Notice
同意签署在线协议|Agreed to sign an online agreement
头部导航|Head navigation
店铺名称|Store Name
请输入店铺名称|Enter the store name
期望登陆名|Expectations login name
请输入期望登陆名|Please enter the desired login name
店铺类型|Store Type
店铺类型|Store Type
旗舰店|flagship store
子类型|Subtype
经营类目|Business Category
详细类目|Detailed category
一级类目|1st Level Category
二级类目|2nd level categories
操作|operating
图书音像|Audio books
图书音像|Audio books
删除|delete
提交|submit
筛选|filter
关闭|close
一级类目|1st level category
二级类目|2nd level categories
全选|select all
反选|Invert Selection
取消|cancel
确定|confirm
取消|cancel
在验证成功后|After a successful authentication
表单提交前执行的函数|Function to execute before the form is submitted
参数是当前表单对象|Parameter is the current form object
这里明确|Here clear
的话表单将不会提交|Then the form will not submit
验证添加详细类目|Verify add detailed category
请添加详细类目|Please add a detailed category
选择店铺类型|Select the type of store
选中值|Select the value
旗舰店|flagship store
选择子类型|Select a subtype
增加验证|Increased verification
移除验证|Remove verification
选择经营类目|Select business category
选中值|Select the average
恢复|restore
全选初始状态|Select initial state
请求下级分类|request for subcategory
遍历|Traversal
子分类|Sub-category
多选|Multiple choice
分类|classification
全选|select all
分类|classification
添加详细类目|Add details Category
并返回数据|And returns data
选中值|Select the value
一级类目|1st level category
二级类目|2nd level categories
操作|operating
遍历|Traversal
子分类|Sub-category
删除|delete
关闭弹窗|Close popup
